input_file,watermark_file,mse,rmse,psnr,uqi,ssim,ergas,scc,rase,sam,vifp,msssim,psnrb
airplane.png,baboon.png,0.16631444295247397,0.4078166781195614,55.92150395339321,0.9999964085902819,0.9988148012872026,103.77199066580951,0.9804126392253821,15.253352157830664,0.0012860488211911792,0.9861398150801879,(0.9997925941750663+0j),51.15029140619659
airplane.png,fruits.png,0.16690572102864584,0.4085409661571846,55.9060913761833,0.9999964102722951,0.9988080525229094,103.92650957361244,0.9803747675791786,15.275204861204237,0.001288359652250191,0.9861564226979729,(0.9997921975493311+0j),51.13487882898667
airplane.png,lake.png,0.1665013631184896,0.40804578556638665,55.916625675155714,0.9999963979217913,0.9988139756829347,103.8591802907883,0.9805161530966843,15.266524837646205,0.0012862605490559338,0.9861727822858523,(0.9997923661733107+0j),51.1454131279591
airplane.png,Lenna.png,0.16686503092447916,0.40849116382668443,55.907150275903646,0.9999964050040283,0.9988078246555515,103.902971933462,0.9803518613605506,15.271932377584028,0.0012880570375797356,0.9861396138227746,(0.9997921980633453+0j),51.13593772870702
airplane.png,peppers.png,0.1659113566080729,0.4073221778986174,55.93204246432373,0.9999964315369786,0.9988154891951503,103.60960183775306,0.9805527014506574,15.22841615510905,0.0012842674203610057,0.9862353488278282,(0.9997934826183241+0j),51.1608299171271
baboon.png,airplane.png,0.1666717529296875,0.4082545197908867,55.91218357838003,0.9999935349764434,0.9996469476495405,162.4820589760227,0.997880796124535,22.792377388729612,0.0015906982471119444,0.988767968114125,(0.9999215241057551+0j),51.140971031183405
baboon.png,fruits.png,0.16704432169596353,0.4087105598048129,55.902486435278405,0.9999935228278284,0.9996460096469199,162.6831962051003,0.9978716306060676,22.820584765532402,0.0015924882679879413,0.9887566049013642,(0.9999208958381095+0j),51.13127388808179
baboon.png,lake.png,0.16643905639648438,0.40796943071323905,55.91825115913316,0.9999935333121502,0.9996488747337452,162.40830012842113,0.9978693017099894,22.782951915957288,0.0015892971713598054,0.9887681476266817,(0.9999219415120272+0j),51.14703861193654
baboon.png,Lenna.png,0.16654078165690103,0.4080940843199041,55.91559762185584,0.9999935364799774,0.9996469959527626,162.43574377236027,0.9978792348560582,22.785744953282503,0.001590036338082493,0.9887887422071172,(0.9999211110377474+0j),51.14438507465921
baboon.png,peppers.png,0.16628138224283853,0.40777614231688264,55.922367348705,0.9999935538006709,0.9996487955563205,162.33680649263016,0.9978697799301965,22.771269134154775,0.0015887461568902762,0.9887926120827256,(0.9999218290569826+0j),51.151154801508376
fruits.png,airplane.png,0.16700617472330728,0.4086638896737847,55.90347832243174,0.9999966651082621,0.9988352126906513,140.75626803996406,0.9710879933393936,19.239833590085183,0.001228581081128117,0.9847019973285144,(0.9997801065157182+0j),51.13226577523511
fruits.png,baboon.png,0.16653315226236978,0.4080847366201899,55.91579658092218,0.999996666705851,0.9988379049344666,140.70523570440037,0.9712238537051839,19.23153897605362,0.0012267430754574437,0.9847362195001977,(0.9997794292464784+0j),51.14458403372556
fruits.png,lake.png,0.16605377197265625,0.4074969594643085,55.92831615662173,0.9999966783919506,0.9988369205735773,140.48652812536693,0.9711947690364124,19.202967088843664,0.0012261753822300117,0.9847234291506389,(0.9997786819277144+0j),51.157103609425114
fruits.png,Lenna.png,0.1665802001953125,0.4081423773578437,55.91456981185711,0.9999966727966635,0.9988360094024529,140.66209301385888,0.9711811134477566,19.227565112920946,0.0012272828574793114,0.9847719623309157,(0.9997792125811643+0j),51.143357264660494
fruits.png,peppers.png,0.1663029988606771,0.4078026469515335,55.921802801577044,0.9999966513945603,0.9988381045629181,140.6540443412473,0.9711508874603347,19.225416237528382,0.001226612934320099,0.9847363862826386,(0.9997783759292315+0j),51.15059025438042
lake.png,airplane.png,0.1663691202799479,0.40788370926030854,55.920076406952965,0.9999935630558001,0.9993277177014903,207.83943936652022,0.9959320345293362,28.913042480803114,0.0017085103542057566,0.9867995805017776,(0.9998619156479538+0j),51.14886385975635
lake.png,baboon.png,0.16674296061197916,0.40834172039111943,55.910328525036405,0.9999935527683269,0.9993249700550101,208.17710009656508,0.9959013937545621,28.960186173752263,0.0017104620722412983,0.9867499566218639,(0.9998613164668537+0j),51.13911597783978
lake.png,fruits.png,0.16635258992513022,0.40786344519352336,55.92050794127531,0.9999935716737882,0.9993280561466809,207.74307039995418,0.9959343990068205,28.90121815857957,0.001708508865960741,0.9867844153315785,(0.9998613574246575+0j),51.149295394078685
lake.png,Lenna.png,0.16682306925455728,0.40843979881318776,55.90824253671755,0.9999935498852878,0.9993277253569737,208.13649118906415,0.995901191558232,28.95432290911201,0.0017107292812709887,0.9867504473203216,(0.999860294930597+0j),51.137029989520926
lake.png,peppers.png,0.16669845581054688,0.40828722219847496,55.911487840516905,0.9999935559950489,0.9993249185200481,208.12466570482215,0.9958865857255829,28.953585459265355,0.0017099465913911378,0.986752579131246,(0.9998606074918797+0j),51.14027529332028
Lenna.png,airplane.png,0.16664505004882812,0.4082218147635279,55.91287942771792,0.9999965429043015,0.9988728010140416,163.56643836040794,0.9858228936238319,23.42558961717971,0.0012618326332658567,0.98577798135024,(0.9998060684121641+0j),51.14166688052129
Lenna.png,baboon.png,0.16683324178059897,0.4084522515308233,55.90797772099058,0.9999965303744215,0.9988726657234563,163.76142254723626,0.9858612404922408,23.454683318487813,0.0012625232331550543,0.98572451613695,(0.9998046777280607+0j),51.136765173793954
